PDFファイル,ページ番号,画像インデックス,図番号,x0,y0,x1,y1
sample1.pdf,1,0,【図 1-1】,85.05007934570312,367.2237548828125,510.2500915527344,650.6737670898438
sample1.pdf,2,0,【図 1-2】,85.05007934570312,317.0489807128906,510.2500915527344,533.448974609375
sample1.pdf,3,0,【図 1-3】,85.05007934570312,196.849609375,483.0500793457031,516.849609375
sample1.pdf,4,0,【図 1-4】,85.05007934570312,365.44866943359375,510.2500915527344,525.9486694335938
sample1.pdf,4,1,【図 1-5】,85.05007934570312,596.2484130859375,510.2500915527344,754.8984375
sample1.pdf,5,0,【図 1-6】,85.05007934570312,397.84869384765625,510.2500915527344,587.5487060546875
sample1.pdf,6,0,【図 1-7】,85.05007934570312,222.24951171875,478.0500793457031,529.24951171875
sample1.pdf,7,0,【図 1-8】,85.05007934570312,415.023681640625,510.2500915527344,698.4736938476562
sample2.pdf,1,0,【図 2-1】,85.05007934570312,288.0248413085937,510.2500915527344,571.474853515625
sample2.pdf,2,0,【図 2-2】,85.05007934570312,297.6745910644531,510.2500915527344,652.0245971679688
sample2.pdf,3,0,【図 2-3】,85.05007934570312,381.974365234375,509.8000793457031,679.3092651367188
sample2.pdf,4,0,【図 2-4】,85.05007934570312,340.4244689941406,510.2500915527344,638.074462890625
sample3.pdf,1,0,【図 3-1】,85.05007934570312,140.25,315.9961853027344,274.0
sample3.pdf,1,1,【図 3-2】,316.10009765625,321.7499694824219,510.2500915527344,416.732177734375
sample3.pdf,1,2,【図 3-3】,174.14990234375,485.75,420.9999084472656,684.75
